文物名称,时代,图片链接,分类,窑口,文物简介
原始瓷刻竖条纹双系罐,战国,http://www.dpm.org.cn/Uploads/Picture/dc/24794.jpg,原始瓷,未知,原始瓷刻竖条纹双系罐，战国，高14厘米，口径8.8厘米，足径12.2厘米。罐圆口，溜肩，圆腹，平底，肩部对称置双系，每个系均由两个互相粘连的桥形纽组成。胎色黄白，仅在肩部有极薄的黄釉，肩部以下刻一周竖条纹。原始青瓷出现于约3000年前的商代，历经西周、春秋、战国、汉代，它是从陶向瓷过渡时期的产物，系从印纹硬陶发展而来。战国时期原始青瓷生产得到较大发展，无论数量、质量还是生产范围，都是前代所无法企及的。从器物出土情况和窑址调查看，原始青瓷产区以长江以南为主，其中以浙江的江山、绍兴、萧山等地窑址较为集中。
原始瓷青釉双系瓿,战国,http://www.dpm.org.cn/Uploads/Picture/dc/8791.jpg,原始瓷,未知,原始瓷青釉双系瓿，战国，高22.5厘米，口径10.4厘米。罐敛口，平沿，上腹鼓出，下部斜收成平底。肩两侧安兽面纹套环双系，其上平贴卷曲状兽角，以贴、划花纹作装饰。上腹部凸起宽弦纹3道，将纹饰分为两层，上层为五、六头一体羽冠飞鸟4组，前后两面鸟纹之间划虎头纹，下层是三头一体羽冠飞鸟6组。罐体施青釉，腹下部无釉，呈红色。此罐器型规整，刻划纹饰清晰，时代特点突出，为东汉原始青瓷的上品。
原始瓷青釉印水波纹提梁盉,战国,http://www.dpm.org.cn/Uploads/Picture/dc/3511.jpg,原始瓷,未知,原始瓷青釉提梁盉，高17.7厘米，口径7厘米。盉直口，圆腹，平底，下承以三兽形足，流为兽头状，壶体另一侧饰一卷曲短尾。提梁为弓形，顶部两端饰有锯齿形棱脊，肩、腹部饰以四道连续的水波纹。器物造型古朴端庄，釉色青中泛黄，施釉均匀，纹饰简洁明快，富有动感。原始瓷出现于商前期，盛行于春秋战国时期。战国以前，由于当时工艺技术水平低下，原料处理未经精细的过滤、淘洗、捏练、陈磨等工艺过程，器物造型简单，胎体多有裂纹，釉色很不稳定。战国时期，原始瓷的制作有了长足的进步，其烧结性能和器表施釉等方面均有很大发展，器形规整，釉层厚薄均匀，釉色青黄，造型多仿当时的青铜器，有尊、鼎、簋、盉、豆、钟等，纹饰多以刻、划、捏塑等为装饰，具有纯朴简洁的风格。此盉造型规整，釉色均匀，是原始瓷中的佼佼者。
彩绘陶方壶,汉,http://www.dpm.org.cn/Uploads/Picture/dc/14018.jpg,彩绘陶,未知,彩绘陶方壶，汉，口边长11.5厘米，足边长12.6厘米，高39厘米。壶口部与足底皆为方形，四角攒尖方盖，壶身两侧各有一铺耳。通体饰以黑、红彩为主色调的图案，颈与腹部皆绘流云纹，并以菱格纹条带相间。此件方壶的造型和彩绘纹饰均仿照同时期的漆方壶而作。此类彩绘陶器在战国和西汉墓葬中出土较多，可能是专用于殉葬的明器。
原始瓷青釉划花双系罐,西汉,http://www.dpm.org.cn/Uploads/Picture/dc/24662.jpg,颜色釉,未知,原始瓷青釉划花双系罐，西汉，高31.5厘米，口径8.3厘米，足径16.5厘米。罐口平沿，无颈，溜肩，鼓腹，胫部渐收，平底微内凹。肩上对称置长方耳并套活环。外壁施青釉至腹。腹部凸弦纹带内刻凤鸟纹。双耳刻划兽面纹。此罐器形饱满，线条流畅，是西汉原始青瓷的代表作。原始青瓷出现于约3000年前的商代，历经西周、春秋、战国、汉代，它是从陶向瓷过渡时期的产物，系从印纹硬陶发展而来。其制法是用瓷石制胎，器表施石灰釉，经1200℃高温焙烧而成。胎体烧结后呈灰白或褐色，器表有玻璃质釉层。胎体吸水率低，敲击时能发出清脆的声音。原始青瓷上的釉都呈青色，这是由于釉中含有适量氧化铁所致。原始青瓷与陶器虽已有本质的区别，但在烧造工艺上与真正的瓷器相比还具有一定的原始性，故称“原始青瓷”。凤鸟纹系陶瓷器装饰的传统纹样之一。凤是远古传说中“出于东方君子之国”的神鸟，是远古氏族图腾之一。其形象神秘奇异。凤鸟纹最早出现在新石器时代的彩陶上，以后瓷器上大量使用这种纹饰。
凸雕龙凤纹彩绘陶壶,西汉,http://www.dpm.org.cn/Uploads/Picture/dc/24668.jpg,彩绘陶,未知,凸雕龙凤纹彩绘陶壶，西汉，通高64厘米，口径21厘米，足径24厘米。壶撇口，粗颈，圆腹，腹部对称置双环形系，高圈足。通体彩绘装饰。口沿下绘一周三角纹。颈部在三角纹内绘云纹。腹部用三周凸起弦纹划分上下两部分装饰带，上为凸雕龙、虎、凤相互追逐于流云之间，色彩绚丽，线条流畅婉转，画面生动活泼。下为彩绘缠枝花纹。圈足上绘弦纹3道。此壶色彩丰富，使用红、绿、蓝、黑、白、黄等彩。颜色鲜艳，历经两千多年，依然光彩夺目。彩绘陶始于新石器时代晚期，主要在灰陶上做画，有的使用红、黑、黄、白、赭等彩直接绘画在陶器表面，也有的在涂有白或黄色的地色上，再用各种颜色进行绘制。战国、秦汉时期是彩绘陶的发展繁荣时期，无论南方和北方，墓葬中常陪葬彩绘陶壶、豆、盘、尊和鼎等，色彩丰富，纹饰复杂，充满着浪漫主义的艺术魅力。
酱釉划花水波纹铺首耳陶壶,西汉,http://www.dpm.org.cn/Uploads/Picture/dc/17029.jpg,釉陶,未知,酱釉划花水波纹铺首耳陶壶，西汉，高35.3厘米，口径13.5厘米，足径14.3厘米。壶撇口，束颈，溜肩，鼓腹，圈足外撇。肩部对称塑贴铺首。壶身刻划弦纹数道。壶外通体施酱黄色釉，釉色浓郁古朴，反映出当时崇尚朴实自然的艺术格调。此陶壶仿铜壶造型烧造，釉层清澈透明，釉面光亮可鉴，花纹具有汉代独特的装饰风格，体现出汉代釉陶艺术所取得的成就。汉代釉陶属于低温铅釉，多以绿、黄褐或棕红色为主，釉面的光泽较强。经科学测试结果表明，其着色剂主要为氧化铜和氧化铁，釉中含适量的铜便呈现美丽的翠绿色，含适量的铁则呈现黄褐或棕红色。釉陶是在氧化气氛中经700℃左右的低温焙烧而成。
原始瓷青釉划花双系壶,西汉,http://www.dpm.org.cn/Uploads/Picture/dc/3512.jpg,原始瓷,未知,原始瓷青釉划花双系壶，西汉，高32.5厘米，口径14.2厘米，底径13.6厘米。壶撇口，长颈，溜肩，肩部对称置双系，鼓腹，平底略内凹。通体施青釉。肩部以划花变形凤鸟纹装饰。颈、肩及腹部划有弦纹5道。此壶造型敦厚古朴，纹饰简练，釉厚而色深，是典型的西汉原始青瓷向东汉成熟青瓷过渡期的产物。原始青瓷出现于约3000年前的商代，历经西周、春秋、战国、汉代，它是从陶向瓷过渡时期的产物，系从印纹硬陶发展而来。其制法是用瓷石制胎，器表施石灰釉，经1200℃高温焙烧而成。胎体烧结后呈灰白或褐色，器表有玻璃质釉层。胎体吸水率低，敲击时能发出清脆的声音。原始青瓷上的釉都呈青色，这是由于釉中含有适量氧化铁所致。原始青瓷与陶器虽已有本质的区别，但在烧造工艺上与真正的瓷器相比还具有一定的原始性，故称“原始青瓷”。西汉原始青瓷的胎体一般呈灰白色或深灰色。其釉层普遍较厚，色调偏深，多呈青绿或黄褐等色。装饰纹样则有弦纹、水波纹、云气纹等，壶、罐等器物上多置双系或铺首。
红陶狗,东汉,http://www.dpm.org.cn/Uploads/File/2018/01/31/15173832113632.jpg,红陶,未知,东汉，高16厘米狗呈卧姿，两耳竖立，双目圆睁，张口露齿，悠闲中保持着特有的警觉。此类陶狗一般分卧、立两种，多出土于汉代庭院模型之前，显然是起护卫的作用。
灰陶狗,东汉,http://www.dpm.org.cn/Uploads/File/2018/01/31/15173777577548.jpg,灰陶,未知,东汉，高15厘米狗灰陶制成，呈快走状。可以看出，此时工匠对动物形体的把握已经相当成熟。狗的身体结构塑造准确，肌肉有力，是一只成年犬。1951年于河南辉县百泉出土。
青釉堆塑五联瓷罐,东汉,http://www.dpm.org.cn/Uploads/Picture/dc/24887.jpg,颜色釉,未知,"青釉堆塑五联瓷罐，东汉，高46.5厘米，口径6.4厘米，底径16.5厘米。五联罐主体为三节葫芦形。施青釉至腹部，其下流釉数道。上腹为两节葫芦形，周围堆塑四个小罐。束腰处塑贴熊、龟和蜥蜴等。下腹有4道弦纹。胫部渐收，平底。五联罐始烧于东汉，多出土于江南地区，是随葬用的冥器。早期器形简单，很少见有堆塑。后来，装饰日渐繁复，堆塑很多人物、动物。到了西晋演变成谷仓罐，具有很高的艺术价值。谷仓罐是对汉代所流行的五联罐随葬的继承和变革,主要是为了死者在另一个世界丰衣足食，能最大程度地满足灵魂的需求。"
青釉刻花三足瓷樽,东汉,http://www.dpm.org.cn/Uploads/Picture/dc/24860.jpg,颜色釉,未知,青釉刻花三足瓷樽，东汉，高23厘米，口径17.7厘米，足距15厘米。樽口内敛，圆桶形器身，直壁，平底，下承以人形三足。附圆盖，盖顶中央置一系，周围置3纽。灰白色胎。盖面刻水波和花叶纹，器身两侧塑贴铺首并刻花草纹。此樽出土于广州东郊红花岗。樽是一种温酒用具，流行于汉晋时期，主要为铅绿釉或黄釉陶器。整器应附盖，其中博山形盖较常见。隋至南宋有较精致的白瓷或青瓷制品，以故宫博物院收藏的宋汝窑樽最为著名。
青釉刻纹镂空瓷簋,东汉,http://www.dpm.org.cn/Uploads/Picture/dc/24858.jpg,颜色釉,未知,青釉刻纹镂空瓷簋，东汉，通高18厘米，口径27.5厘米，足径16.8厘米。簋（guǐ 音轨）圆形，附盖。口沿微外撇，弧腹，高圈足稍外撇。胎色灰白。通体施釉，釉色青中泛褐。盖顶置环形纽，纽上套圆环。盖面刻花叶和三角纹。口沿镂空小圆孔一周并刻划树枝纹。腹部刻菱形纹。此件器物出土于广州东郊三育路羊山。簋为盛食器，功能相当于大碗，以陶质、青铜质或瓷质较为常见。新石器时代大溪文化、良渚文化、昙石山文化以及夏、商、西周遗址和墓葬中均有出土。早期陶簋一般为侈口，圆腹，圈足，有的有双耳。商代中期开始，器形演变为敛口，折沿，深腹，圜底，圈足，有的则为敞口，卷沿，斜腹。商代始见原始青瓷簋，三国至西晋时浙江的青瓷窑依然烧制瓷簋。
原始瓷青釉瓷匜,东汉,http://www.dpm.org.cn/Uploads/Picture/dc/24760.jpg,颜色釉,未知,原始瓷青釉瓷匜，战国，高8.4厘米，口径16.5厘米，底径7.7厘米。匜（yí 音仪）圆口，弧腹，小平底。口沿一侧置一圆系，另一侧置流。内外施青釉，釉层较薄。匜为古代盥器，是盥洗时浇水的用具，有陶、青铜和瓷制品。陶制品常出现在新石器时代至西汉的墓葬中。新石器时代嵩泽文化遗址中出土的直腹圜底匜、河南郑州春秋墓葬中出土的仿青铜式样的匜较为少见。战国以后圆盘形匜较流行。
绿釉陶狗,东汉,http://www.dpm.org.cn/Uploads/File/2018/01/31/15173783545829.jpg,颜色釉,釉陶,绿釉陶狗，东汉，高29.7厘米，长27厘米，宽16厘米。犬通体施绿釉。头部较大，身体短小，两只耳朵弯曲向前，双目圆睁怒视前方，张嘴狂吠，犬齿外露彰显凶猛。其四肢短小，矫健有力，显示出一种自然写实的美感。东汉中期，随葬的家畜、家禽等陶俑的数量较以前增多。陶犬身上的绿釉是因为含氧化铜的石灰釉在氧化气氛中呈现出绿色。我国传统的绿釉都是以铜作着色剂，属于铜绿釉。
绿釉弦纹熊足陶仓,东汉,http://www.dpm.org.cn/Uploads/Picture/dc/24754.jpg,颜色釉,未知,绿釉弦纹熊足陶仓，东汉，高24.5厘米，口径5.7厘米，足距7.8厘米。陶仓顶部呈伞状，圆桶身，平底，下承以三熊形足。通体施绿釉。仓顶均匀分布20条放射状凸线纹，其间用波线示意出叠压的瓦纹。器身饰3组凸弦纹。汉代墓中随葬陶器的数量和品种大大超过了以往各代墓内随葬的陶器，其中一部分是实用器，但绝大多数是专为随葬烧制的陶冥器。陶仓即为随葬冥器，始见于战国、秦代墓葬出土物，汉武帝前后盛行，与灶、井、炉等配套使用。
绿釉凸花狩猎纹陶壶,东汉,http://www.dpm.org.cn/Uploads/Picture/dc/24773.jpg,颜色釉,未知,绿釉凸花狩猎纹陶壶，东汉，高25厘米，口径9.8厘米，底径10.2厘米。壶撇口，粗颈，鼓腹，胫部渐收，平底。灰白色胎。通体施绿釉，釉色匀净光亮。腹部凸雕狩猎纹，可见林中飞奔的龙、虎、羊等。战国至汉代的工艺品上流行使用狩猎纹，表现的内容为宴乐、弋射、采桑、狩猎以及水陆攻战等题材，反映了当时的社会生活状况。汉代的陶器上多采用凸雕的方法装饰这些纹样。含氧化铜的石灰釉在氧化气氛中呈现出绿色。我国传统的绿釉都是以氧化铜作着色剂，属于铜绿釉。
青釉刻划弦纹双系瓷壶,东汉,http://www.dpm.org.cn/Uploads/Picture/dc/7124.jpg,颜色釉,未知,青釉刻划弦纹双系瓷壶，东汉，高24.5厘米，口径11.5厘米，底径9厘米。壶洗口，束颈，溜肩，鼓腹，腹以下渐敛，平底。肩部置对称竖系。通体内外施青釉，外壁施釉不到底。颈、肩部刻划水波纹，腹部刻划密集的弦纹。这件青釉双系壶胎体较薄，釉层匀净光洁，属于刚从原始瓷中脱离出来的质量更高一筹的青釉器，堪称我国最早的瓷器。这种青釉瓷器在烧结性能和器表施釉等各方面都比原始青瓷有了较大进步，但与成熟的青瓷相比仍有一定的差距。
